"IDENTIFICADOR_NOTA_FISCAL";"DATA_EMISSAO";"OPERACAO_FISCAL";"TIPO_TRANSACAO";"CODIGO_PEDIDO_MULTICANAL";"CODIGO_FILIAL";"TRANSACAO_CLIENTE";"CODIGO_NOTA_FISCAL_ORIGEM";"FORMA_PAGAMENTO";"VALOR_NOTA_FISCAL";"NUMERO_NOTA_FISCAL";"DATA_ATUALIZACAO";"LOJA_24H";"ESTADO";"ENDERECO";"BAIRRO";"CIDADE";"CEP"
487073524;"23/01/2011";1;;;12;2;;4;29.64;16074;"23/01/2011";0;SP;RUA GOVERNADOR PEDRO DE TOLEDO;CENTRO;PIRACICABA;"13400060"
487073525;"23/01/2011";1;;;28;2;;4;272.67;16152;"23/01/2011";0;SP;AV. MAR FLORIANO PEIXOTO;GONZAGA;SANTOS;"11060300"
487073527;"23/01/2011";1;;;86;2;;4;53.99;46153;"23/01/2011";1;RJ;R VISCONDE DE PIRAJA;IPANEMA;RIO DE JANEIRO;"22410001"
487073528;"23/01/2011";1;;;136;2;;1;13.7;22529;"23/01/2011";0;SP;BARAO DO RIO BRANCO;CENTRO;PRESIDENTE PRUDENTE;"19010000"
487073529;"23/01/2011";1;;;235;2;;1;6.84;153675;"23/01/2011";0;RJ;NELSON CARDOSO;TAQUARA;RIO DE JANEIRO;"22730001"
487073530;"23/01/2011";1;;;43;2;;1;28.51;59873;"23/01/2011";0;SP;AVENIDA SÃO LUÍS;REPÚBLICA;SÃO PAULO;"01046001"
487073535;"23/01/2011";1;;;130;2;;1;4.1;50333;"23/01/2011";0;PR;RUA BRIGADEIRO FRANCO;CENTRO;CURITIBA;"80250030"
487073540;"23/01/2011";1;;;89;2;;1;3.88;150383;"23/01/2011";0;RJ;R VISCONDE DE PIRAJA;IPANEMA;RIO DE JANEIRO;"22410003"
487073542;"23/01/2011";1;;;353;2;;4;29.12;2246;"23/01/2011";0;SP;AVENIDA SALDANHA MARINHO;S JUDAS;PIRACICABA;"13416257"
487073543;"23/01/2011";1;;;299;2;;4;29.99;32977;"23/01/2011";0;SP;PORTUGAL;JD S LUIZ;RIBEIRÃO PRETO;"14020380"
487073545;"23/01/2011";1;;;181;2;;5;52.94;123887;"23/01/2011";1;SP;JOAO PIRES;CENTRO;ATIBAIA;"12940500"
487073549;"23/01/2011";1;;;145;2;;1;16.9;325365;"23/01/2011";1;SP;RUA PRUDENTE DE MORAES;CENTRO;SANTA BARBARA DO OESTE;"13450048"
487073552;"23/01/2011";1;;;254;2;;4;197.29;84495;"23/01/2011";0;SP;COMENDADOR FRAGATA;FRAGATA;MARÍLIA;"17519020"
